,Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Итого бобров,Recency,Frequency,Monetary
1445,SU44716,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Администратор проектов,нет,"13 г., 5 мес.,6 дн.",Женский,36,2405,-48.0,23.0,6075.0
1446,SU82112,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,нет,"9 г., 1 мес.,15 дн.",Женский,45,2425,7.0,27.0,0.0
1447,SU171484,Департамент бизнес-приложений,,группа консультантов по финансам,Консультант по внедрению бизнес-приложений,нет,"3 г., 1 мес.,29 дн.",Мужской,22,2880,-52.0,28.0,8860.0
1448,SU198288,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,нет,"0 г., 8 мес.,5 дн.",Мужской,20,1340,-21.0,29.0,0.0
1449,SU199772,Департамент инженерных и мультимедийных систем,группа сервиса,,Стажер,нет,"0 г., 1 мес.,15 дн.",Мужской,20,790,7.0,7.0,0.0
1450,SU199045,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Стажер,нет,"0 г., 4 мес.,15 дн.",Женский,20,800,-25.0,16.0,0.0
1451,SU1288,Административно-эксплуатационный департамент,Административный отдел,,"Менеджер по административно-хозяйственной деятельности, HR-партнер",нет,"17 г., 5 мес.,4 дн.",Женский,42,1615,-49.0,6.0,6780.0
1452,SU197854,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",,Специалист по охране труда,нет,"0 г., 10 мес.,27 дн.",Женский,24,1345,106.0,12.0,1350.0
1453,SU457,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Администратор,нет,"17 г., 0 мес.,22 дн.",Женский,43,200,220.0,1.0,3000.0
1454,SU199945,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по продвижению решений,нет,"0 г., 0 мес.,18 дн.",Женский,28,200,67.0,1.0,0.0
1455,SU106683,Департамент внутренней автоматизации,,группа управления проектами,Менеджер проектов,нет,"5 г., 11 мес.,12 дн.",Мужской,30,965,-54.0,76.0,9675.0
1456,SU134892,Департамент маркетинга,группа маркетологов,,Менеджер по маркетингу,нет,"4 г., 11 мес.,11 дн.",Женский,30,0,,0.0,4920.0
1457,SU197098,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Ведущий инженер-тестировщик,нет,"1 г., 2 мес.,30 дн.",Мужской,40,1550,-21.0,28.0,0.0
1458,SU105383,Департамент продаж и менеджмента проектов,Отдел расчётов с клиентами,,Ведущий специалист,нет,"6 г., 0 мес.,24 дн.",Женский,27,1240,-49.0,9.0,7880.0
1459,SU184120,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Младший инженер-разработчик,нет,"2 г., 8 мес.,14 дн.",Мужской,22,1125,-47.0,11.0,5010.0
1460,SU191200,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,нет,"2 г., 0 мес.,29 дн.",Мужской,41,2910,-54.0,108.0,4625.0
1461,SU97461,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Старший системный инженер,нет,"6 г., 9 мес.,8 дн.",Мужской,27,1310,-49.0,7.0,8500.0
1462,SU198622,Департамент продаж и менеджмента проектов,,группа сметчиков,Инженер-сметчик,нет,"0 г., 5 мес.,29 дн.",Женский,36,1520,-54.0,32.0,800.0
1463,SU198702,Департамент инженерных и мультимедийных систем,,,Руководитель группы,РМ,"0 г., 6 мес.,3 дн.",Мужской,41,570,6.0,30.0,0.0
1464,SU117590,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-диспетчер,нет,"5 г., 6 мес.,6 дн.",Мужской,35,200,,1.0,0.0
1465,SU100135,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Ведущий инженер,нет,"6 г., 6 мес.,16 дн.",Мужской,45,1750,-48.0,27.0,7050.0
1466,SU196293,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Младший инженер-тестировщик,нет,"1 г., 8 мес.,9 дн.",Женский,26,2115,-54.0,197.0,0.0
1467,SU197527,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа аналитиков,Системный аналитик,нет,"0 г., 6 мес.,3 дн.",Женский,37,500,67.0,7.0,0.0
1468,SU195819,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Младший системный инженер,нет,"1 г., 8 мес.,1 дн.",Женский,23,3410,-21.0,34.0,400.0
1469,SU199481,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Специалист по продвижению решений,нет,"0 г., 2 мес.,24 дн.",Мужской,30,1005,7.0,12.0,0.0
1470,SU199433,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Администратор,нет,"0 г., 3 мес.,7 дн.",Мужской,32,200,,1.0,0.0
1471,SU42736,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"13 г., 8 мес.,1 дн.",Женский,34,1460,-49.0,9.0,4350.0
1472,SU429,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"22 г., 3 мес.,13 дн.",Мужской,42,200,,1.0,0.0
1473,SU41424,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"14 г., 0 мес.,13 дн.",Мужской,36,750,226.0,2.0,8400.0
1474,SU197882,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Младший дежурный специалист,нет,"0 г., 11 мес.,3 дн.",Мужской,25,1250,-21.0,25.0,1350.0
1475,SU190745,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Системный инженер,нет,"2 г., 1 мес.,10 дн.",Мужской,23,2690,-53.0,73.0,3930.0
1476,SU198428,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Младший менеджер проектов,нет,"0 г., 6 мес.,24 дн.",Мужской,24,770,42.0,8.0,0.0
1477,SU195706,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Инженер-разработчик,нет,"1 г., 9 мес.,25 дн.",Мужской,37,115,-48.0,2.0,30.0
1478,SU192248,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"2 г., 0 мес.,15 дн.",Мужской,27,1155,-21.0,10.0,3150.0
1479,SU97024,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,"Ведущий инженер, Тимлид",ТЛ,"6 г., 9 мес.,16 дн.",Мужской,34,3400,-54.0,70.0,18525.0
1480,SU2007,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Эксперт,нет,"21 г., 6 мес.,11 дн.",Мужской,44,200,,1.0,2500.0
1481,SU104174,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Ведущий инженер,нет,"6 г., 2 мес.,3 дн.",Мужской,33,3330,-54.0,163.0,6570.0
1482,SU108259,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа разработчиков",Старший инженер-разработчик,нет,"4 г., 7 мес.,28 дн.",Мужской,27,0,,0.0,0.0
1483,SU199453,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Стажер,нет,"0 г., 3 мес.,3 дн.",Женский,19,960,7.0,15.0,0.0
1484,SU199138,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Менеджер по работе с партнерами,нет,"0 г., 4 мес.,8 дн.",Женский,36,765,7.0,10.0,0.0
1485,SU196777,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,Младший бухгалтер,нет,"1 г., 4 мес.,25 дн.",Женский,22,2650,-54.0,172.0,4795.0
1486,SU74392,Правовой департамент,группа комплексного сопровождения проектов,,Ведущий юрист,нет,"10 г., 1 мес.,10 дн.",Мужской,33,2345,-49.0,49.0,9270.0
1487,SU133993,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Ведущий инженер,нет,"4 г., 11 мес.,12 дн.",Мужской,36,1075,-48.0,22.0,600.0
1488,SU196381,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший инженер-разработчик,нет,"1 г., 6 мес.,28 дн.",Мужской,35,1100,-48.0,19.0,0.0
1489,SU106284,Отдел подготовки тендеров,,,Менеджер по работе с тендерами,нет,"5 г., 11 мес.,1 дн.",Женский,28,955,-47.0,50.0,7640.0
1490,SU42803,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"13 г., 9 мес.,14 дн.",Мужской,56,200,-16.0,1.0,0.0
1491,SU88868,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Сервис-менеджер,нет,"8 г., 2 мес.,10 дн.",Женский,31,1800,73.0,7.0,4170.0
1492,SU184940,Департамент разработки программного обеспечения,,группа системных инженеров,Инженер,нет,"2 г., 7 мес.,22 дн.",Мужской,25,4255,-53.0,205.0,8050.0
1493,SU165814,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа инженеров разработки облака,Инженер,нет,"3 г., 3 мес.,13 дн.",Мужской,22,930,-49.0,7.0,6040.0
1494,SU47616,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер,РМ,"12 г., 11 мес.,29 дн.",Мужской,34,2390,-49.0,16.0,13250.0
1495,SU63106,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Сервис-менеджер,нет,"11 г., 8 мес.,21 дн.",Женский,32,750,197.0,2.0,520.0
1496,SU154486,Департамент бизнес-приложений,,Группа аналитиков по автоматизации бизнес-процессов,Старший консультант по внедрению бизнес-приложений,нет,"3 г., 11 мес.,8 дн.",Мужской,38,2550,-48.0,29.0,10420.0
1497,SU199752,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Младший инженер,нет,"0 г., 1 мес.,2 дн.",Мужской,23,250,,2.0,0.0
1498,SU67120,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Ведущий инженер-разработчик,нет,"11 г., 2 мес.,24 дн.",Мужской,32,750,161.0,2.0,3300.0
1499,SU168082,Transformation office,,,Консультант по трансформации бизнеса,нет,"3 г., 2 мес.,25 дн.",Женский,23,1740,-49.0,41.0,4870.0
1500,SU180089,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Администратор проектов,нет,"2 г., 10 мес.,9 дн.",Женский,32,0,,0.0,5230.0
1501,SU190244,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Инженер технической поддержки,нет,"2 г., 2 мес.,3 дн.",Мужской,23,4575,-46.0,25.0,6015.0
1502,SU180098,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Старший инженер-разработчик,нет,"2 г., 10 мес.,5 дн.",Мужской,24,1405,42.0,9.0,10440.0
1503,SU3140,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Старший технический менеджер,нет,"16 г., 4 мес.,15 дн.",Мужской,45,2930,-49.0,14.0,1800.0
1504,SU64144,Департамент внутренней автоматизации,,группа системных администраторов,Инженер,нет,"11 г., 7 мес.,27 дн.",Мужской,32,2000,-48.0,37.0,21550.0
1505,SU2421,Департамент инженерных и мультимедийных систем,,монтажники,Монтажник,нет,"16 г., 9 мес.,7 дн.",Мужской,48,900,75.0,8.0,0.0
1506,SU199795,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Пресейл-инженер,нет,"0 г., 1 мес.,8 дн.",Мужской,31,250,,2.0,0.0
1507,SU197231,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа тестировщиков,Младший инженер-тестировщик,нет,"1 г., 2 мес.,10 дн.",Женский,23,1025,-48.0,18.0,1300.0
1508,SU106458,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"5 г., 11 мес.,24 дн.",Женский,30,3785,-19.0,20.0,14740.0
1509,SU311,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"20 г., 8 мес.,6 дн.",Женский,45,320,70.0,4.0,2985.0
1510,SU196784,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Инженер,нет,"1 г., 4 мес.,4 дн.",Женский,28,1495,-48.0,31.0,300.0
1511,SU69386,Департамент по работе с персоналом,,отдел обучения,Ведущий менеджер по образовательным решениям,РМ,"10 г., 11 мес.,27 дн.",Женский,39,650,-21.0,10.0,15840.0
1512,SU152466,Департамент инженерных и мультимедийных систем,,,Технический менеджер,РМ,"4 г., 0 мес.,13 дн.",Мужской,39,2335,-49.0,18.0,10350.0
1513,SU197277,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Инженер-разработчик,нет,"1 г., 2 мес.,4 дн.",Мужской,21,2380,-53.0,32.0,3480.0
1514,SU197887,Департамент по работе с персоналом,,Образовательные проекты brainz для студентов и школьников,Младший менеджер по образовательным проектам,нет,"0 г., 11 мес.,2 дн.",Женский,23,1605,130.0,8.0,0.0
1515,SU197878,Департамент маркетинга,группа событийного маркетинга,,Менеджер по организации маркетинговых мероприятий,нет,"0 г., 11 мес.,2 дн.",Женский,24,1050,-48.0,21.0,660.0
1516,SU96963,Департамент инженерных и мультимедийных систем,Технические менеджеры по мультимедийным системам,,Технический менеджер,нет,"6 г., 10 мес.,14 дн.",Мужской,35,4610,-47.0,69.0,11830.0
1517,SU66941,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Ведущий консультант по внедрению,нет,"11 г., 0 мес.,4 дн.",Женский,32,50,190.0,1.0,7530.0
1518,SU45320,Департамент разработки программного обеспечения,,группа системных инженеров,Ведущий системный инженер,нет,"13 г., 4 мес.,11 дн.",Мужской,36,200,,1.0,2500.0
1519,SU2423,Департамент инженерных и мультимедийных систем,,,Руководитель производственной группы,РМ,"25 г., 7 мес.,24 дн.",Мужской,57,250,287.0,2.0,3800.0
1520,SU2424,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Старший менеджер проектов,нет,"26 г., 5 мес.,20 дн.",Мужской,51,1650,-48.0,30.0,13300.0
1521,SU2425,Департамент продаж и менеджмента проектов,,группа продаж,Заместитель генерального директора по работе с корпоративными клиентами,ТЛ,"26 г., 4 мес.,24 дн.",Мужской,48,905,163.0,4.0,800.0
1522,SU198510,Департамент бизнес-приложений,,группа консультантов по финансам,Старший консультант по внедрению бизнес-приложений,нет,"0 г., 5 мес.,12 дн.",Женский,37,670,130.0,11.0,500.0
1523,SU2705,Транспортный отдел,,Группа обслуживания и сервиса,Водитель,нет,"20 г., 6 мес.,24 дн.",Мужской,51,200,286.0,1.0,3000.0
1524,SU160950,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Старший системный инженер,нет,"3 г., 6 мес.,20 дн.",Мужской,27,3195,-21.0,28.0,9990.0
1525,SU197270,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Младший инженер технической поддержки,нет,"1 г., 2 мес.,9 дн.",Мужской,21,4410,-46.0,43.0,4500.0
1526,SU2430,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,,Ведущий менеджер по работе с партнерами,нет,"21 г., 11 мес.,14 дн.",Мужской,43,100,258.0,1.0,17500.0
1527,SU198585,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа внедрения и эксплуатации облачных ИТ-инфраструктур,Инженер,нет,"0 г., 6 мес.,20 дн.",Мужской,33,1150,7.0,17.0,0.0
1528,SU47412,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Диспетчер,нет,"13 г., 0 мес.,6 дн.",Мужской,53,200,,2.0,0.0
1529,SU199925,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Стажер,нет,"0 г., 0 мес.,22 дн.",Женский,20,400,220.0,2.0,0.0
1530,SU199712,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа внедренцев,Стажер,нет,"0 г., 1 мес.,15 дн.",Женский,22,200,7.0,1.0,0.0
1531,SU197320,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Инженер-разработчик,нет,"1 г., 1 мес.,21 дн.",Мужской,33,735,-21.0,13.0,1290.0
1532,SU45196,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Диспетчер,нет,"13 г., 4 мес.,22 дн.",Мужской,61,400,105.0,3.0,4500.0
1533,SU199501,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Стажер,нет,"0 г., 2 мес.,26 дн.",Мужской,22,675,130.0,9.0,340.0
1534,SU199834,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"0 г., 0 мес.,25 дн.",Мужской,25,200,280.0,1.0,0.0
1535,SU198780,Департамент бизнес-приложений,,группа консультантов по финансам,Стажер,нет,"0 г., 6 мес.,3 дн.",Мужской,21,1135,-25.0,25.0,0.0
1536,SU3619,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Руководитель комплексных проектов,РМ,"19 г., 3 мес.,12 дн.",Мужской,37,1285,7.0,12.0,19715.0
1537,SU199585,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки платформы контейнеризации,Старший инженер-разработчик,нет,"0 г., 2 мес.,6 дн.",Мужской,34,600,67.0,9.0,0.0
1538,SU199676,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Стажер,нет,"0 г., 1 мес.,26 дн.",Мужской,19,450,250.0,3.0,255.0
1539,SU70488,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Ведущий сервис-менеджер,нет,"7 г., 10 мес.,24 дн.",Мужской,36,2245,-53.0,75.0,21200.0
1540,SU85916,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,нет,"8 г., 7 мес.,15 дн.",Женский,29,850,-48.0,10.0,3150.0
1541,SU163886,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Технический менеджер,нет,"3 г., 4 мес.,4 дн.",Мужской,27,2665,-49.0,14.0,8180.0
1542,SU135119,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Директор по отраслевым решениям,нет,"4 г., 10 мес.,22 дн.",Мужской,39,550,226.0,1.0,0.0
1543,SU64783,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Ведущий инженер,нет,"11 г., 6 мес.,24 дн.",Мужской,32,1165,7.0,13.0,4865.0
1544,SU69314,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий аналитик,нет,"10 г., 8 мес.,3 дн.",Женский,34,1840,-48.0,25.0,7980.0
1545,SU195994,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Младший инженер-разработчик,нет,"1 г., 9 мес.,14 дн.",Мужской,22,1640,-47.0,27.0,0.0
1546,SU196844,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Эксперт,нет,"1 г., 3 мес.,29 дн.",Мужской,39,2200,-47.0,32.0,2250.0
1547,SU197575,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Младший инженер-разработчик,нет,"1 г., 0 мес.,27 дн.",Мужской,22,2000,-48.0,37.0,0.0
1548,SU117878,Департамент по работе с персоналом,,отдел обучения,Ведущий менеджер по корпоративному обучению,нет,"5 г., 5 мес.,12 дн.",Женский,33,550,-48.0,16.0,9030.0
1549,SU197083,Департамент бизнес-приложений,,группа консультантов по производству,Младший консультант по внедрению бизнес-приложений,нет,"1 г., 2 мес.,25 дн.",Женский,22,1445,-47.0,31.0,1700.0
1550,SU180912,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер,нет,"2 г., 9 мес.,13 дн.",Мужской,56,350,-46.0,3.0,800.0
1551,SU199210,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Менеджер продукта,нет,"0 г., 3 мес.,21 дн.",Мужской,39,500,70.0,4.0,0.0
1552,SU199661,Департамент телекоммуникаций,Сервис,группа развития,Стажер,нет,"0 г., 1 мес.,21 дн.",Женский,20,550,7.0,5.0,0.0
1553,SU84119,Департамент внутренней автоматизации,,группа аналитиков,Старший системный аналитик,нет,"8 г., 11 мес.,16 дн.",Мужской,30,595,-18.0,10.0,2010.0
1554,SU199754,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"0 г., 1 мес.,16 дн.",Мужской,29,900,37.0,9.0,0.0
1555,SU2988,Финансовый департамент,,группа финансовых партнеров,Финансовый партнёр,нет,"16 г., 8 мес.,30 дн.",Женский,40,2145,-49.0,123.0,7460.0
1556,SU197449,Департамент по работе с персоналом,отдел кадров,,Младший HR-менеджер,нет,"1 г., 1 мес.,21 дн.",Женский,24,2415,-54.0,97.0,2250.0
1557,SU195562,Финансовый департамент,,группа финансовых партнеров,Бухгалтер,нет,"1 г., 10 мес.,13 дн.",Женский,24,15,,1.0,50.0
1558,SU199998,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа разработки облака,Старший инженер-разработчик,нет,"0 г., 0 мес.,4 дн.",Мужской,29,0,,0.0,0.0
1559,SU104538,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"6 г., 1 мес.,27 дн.",Мужской,25,400,,2.0,3855.0
1560,SU80723,Департамент маркетинга,группа событийного маркетинга,,Старший менеджер по организации маркетинговых мероприятий,нет,"9 г., 3 мес.,26 дн.",Женский,29,1420,-21.0,9.0,1200.0
1561,SU196800,Департамент внутренней автоматизации,,группа разработки HR-tech решений,Инженер-разработчик,нет,"1 г., 4 мес.,18 дн.",Мужской,22,2440,-53.0,36.0,4625.0
1562,SU89727,Финансовый департамент,,группа финансовых партнеров,Руководитель группы,РМ,"8 г., 0 мес.,15 дн.",Женский,30,2205,6.0,12.0,19545.0
1563,SU198139,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Инженер-электрик,нет,"0 г., 8 мес.,23 дн.",Мужской,50,200,228.0,1.0,0.0
1564,SU151988,Департамент бизнес-приложений,,группа консультантов по производству,Эксперт,нет,"2 г., 2 мес.,24 дн.",Мужской,41,1665,37.0,11.0,3300.0
1565,SU196863,Департамент по работе с персоналом,,Развитие бренда работодателя,Менеджер по развитию бренда работодателя,нет,"1 г., 4 мес.,6 дн.",Женский,27,650,130.0,13.0,1170.0
1566,SU45773,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Ведущий инженер-электрик,нет,"13 г., 3 мес.,14 дн.",Мужской,46,2515,221.0,12.0,2250.0
1567,SU1806,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Технический менеджер,нет,"23 г., 1 мес.,13 дн.",Мужской,45,305,130.0,4.0,0.0
1568,SU199286,Служба качества,,,Специалист,нет,"0 г., 3 мес.,23 дн.",Женский,24,2535,-54.0,74.0,4200.0
1569,SU114389,Департамент по работе с персоналом,,HR-партнеры,HR-партнер,нет,"5 г., 4 мес.,1 дн.",Женский,33,200,45.0,1.0,0.0
1570,SU33903,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,,Менеджер по продвижению решений,нет,"4 г., 6 мес.,27 дн.",Женский,38,5215,-54.0,459.0,12400.0
1571,SU3621,Департамент внутренней автоматизации,,группа системных администраторов,Ведущий инженер,нет,"23 г., 8 мес.,26 дн.",Мужской,45,550,-48.0,6.0,0.0
1572,SU75812,Департамент продаж и менеджмента проектов,,группа управления проектами по техническому консалтингу,Менеджер проектов,нет,"5 г., 7 мес.,24 дн.",Мужской,41,105,,2.0,0.0
1573,SU198791,Департамент разработки программного обеспечения,"Практика ""Time and Material""",,Младший сервис-менеджер,нет,"0 г., 6 мес.,8 дн.",Мужской,25,750,-21.0,12.0,0.0
1574,SU3622,Департамент телекоммуникаций,Сервис,,Руководитель группы,РМ,"18 г., 3 мес.,22 дн.",Мужской,42,750,223.0,2.0,10200.0
1575,SU198498,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"0 г., 6 мес.,29 дн.",Мужской,41,650,7.0,7.0,0.0
1576,SU198969,Департамент маркетинга,группа маркетологов,,Менеджер по маркетингу,нет,"0 г., 4 мес.,28 дн.",Мужской,29,1985,10.0,14.0,1267.0
1577,SU150041,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"4 г., 1 мес.,10 дн.",Мужской,33,2610,-54.0,101.0,16745.0
1578,SU74792,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,Ведущий бухгалтер,нет,"10 г., 0 мес.,30 дн.",Женский,32,250,15.0,9.0,2765.0
1579,SU157757,Департамент по работе с персоналом,,Геймификация,Старший менеджер по развитию корпоративной культуры,нет,"3 г., 8 мес.,24 дн.",Женский,24,585,-48.0,58.0,34986.0
1580,SU198724,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Младший сервис-менеджер,нет,"0 г., 6 мес.,10 дн.",Женский,25,1415,-21.0,18.0,185.0
1581,SU191168,Департамент бизнес-приложений,,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,28 дн.",Женский,22,3310,-54.0,32.0,5950.0
1582,SU173251,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Инженер,нет,"3 г., 1 мес.,11 дн.",Мужской,23,2500,-53.0,11.0,3235.0
1583,SU51367,Департамент разработки программного обеспечения,"Практика ""Роботехника""",,Менеджер продукта,нет,"12 г., 6 мес.,13 дн.",Мужской,32,200,-49.0,1.0,2850.0
1584,SU83433,Департамент внутренней автоматизации,,группа управления проектами,Менеджер проектов,нет,"9 г., 0 мес.,6 дн.",Мужской,34,840,-21.0,24.0,15570.0
1585,SU1809,Департамент инженерных и мультимедийных систем,,монтажники,Бригадир,нет,"23 г., 4 мес.,24 дн.",Мужской,65,600,-21.0,9.0,0.0
1586,SU197931,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Администратор проектов,нет,"0 г., 10 мес.,21 дн.",Женский,26,135,7.0,5.0,280.0
1587,SU90882,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Ведущий инженер-тестировщик,нет,"7 г., 8 мес.,24 дн.",Женский,39,1870,-48.0,35.0,9230.0
1588,SU138771,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа специалистов поддержки ИТ-инфраструктур,Дежурный специалист,нет,"4 г., 8 мес.,22 дн.",Женский,25,215,129.0,4.0,6920.0
1589,SU157839,Департамент по работе с персоналом,отдел рекрутинга,,Старший HR-менеджер,нет,"3 г., 8 мес.,24 дн.",Женский,24,4275,130.0,17.0,7515.0
1590,SU199535,Департамент маркетинга,контакт-центр,,Оператор,нет,"0 г., 2 мес.,20 дн.",Женский,21,800,67.0,7.0,0.0
